column_name,value,frequency,category
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(457920.0, 316000000.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(543120.0, 193000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(684720.0, 243000000.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(636240.0, 235000000.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(504240.0, 160000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(616560.0, 243000000.0)",1,"Outlier-ECOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(855360.0, 300000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(472560.0, 341000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(680400.0, 258000000.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(941520.0, 562000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(441360.0, 284000000.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(507840.0, 226000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(769440.0, 370000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(243840.0, 224000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(190824.0, 193000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(303840.0, 309000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(445440.0, 312000000.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(449520.0, 257000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(225336.0, 229000000.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(711840.0, 741000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(389520.0, 274000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(289680.0, 250000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(379680.0, 286000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(467760.0, 362000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(248400.0, 248000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,ABOD"
