ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED,MANUFACTURER_MISSPELLED,pred
1,Food-Spice,Turmeric powder,Lead,2.9,ppm,[],INDIA,01/04/2011 12:00:00 AM,,False,False
2,Food-Spice,Cumin powder,Lead,2.4,ppm,[],INDIA,01/04/2011 12:00:00 AM,,False,False
3,Food-Spice,Cumin seeds,Lead,2.8,ppm,[],INDIA,01/04/2011 12:00:00 AM,,False,False
4,Food-Spice,Masala,Lead,12.0,ppm,[],UNKNOWN OR NOT STATED,01/04/2011 12:00:00 AM,,False,False
5,Food-Candy,Tamarind Candy,Lead,-1.0,ppm,[],UNKNOWN OR NOT STATED,01/06/2011 12:00:00 AM,,False,False
6,Food-Candy,Lucas Muecas candy,Lead,-1.0,ppm,"['lucas', 'muecas']",MEXICO,01/06/2011 12:00:00 AM,,True,True
7,Jewelry,Amulet (Tabeez),Lead,580000.0,ppm,[],BANGLADESH,01/13/2011 12:00:00 AM,,False,False
8,Jewelry,String for amulet/tabeez,Lead,-1.0,ppm,[],BANGLADESH,01/13/2011 12:00:00 AM,,False,False
9,Cosmetics,Surma (Hashmi),Lead,410000.0,ppm,[],PAKISTAN,01/19/2011 12:00:00 AM,,False,False
10,Food-Spice,Powdered red pepper,Lead,-1.0,ppm,[],INDIA,01/19/2011 12:00:00 AM,,False,False
11,Food-Spice,Turmeric (Haldi),Lead,-1.0,ppm,[],INDIA,01/19/2011 12:00:00 AM,,False,False
12,Food-Spice,Garam masala,Lead,3.2,ppm,[],INDIA,01/19/2011 12:00:00 AM,,False,False
13,Food-Spice,Garam masala,Lead,3.8,ppm,[],INDIA,01/19/2011 12:00:00 AM,,False,False
14,Food-Spice,Red pepper spice,Lead,-1.0,ppm,[],UNKNOWN OR NOT STATED,01/19/2011 12:00:00 AM,,False,False
15,Food-Spice,Turmeric powder,Lead,610.0,ppm,[],BANGLADESH,01/21/2011 12:00:00 AM,,False,False
16,Food-Spice,Chili powder,Lead,3.8,ppm,[],BANGLADESH,01/21/2011 12:00:00 AM,,False,False
17,Dietary Supplement/Medications/Remedy,Pregnita (Ayurvedic),Lead,12000.0,ppm,"['pvt.', 'ajmera', 'ltd.']",INDIA,01/24/2011 12:00:00 AM,,True,True
18,Dietary Supplement/Medications/Remedy,Calcimax 500,Lead,2.7,ppm,"['meyer', 'vitabiotics']",INDIA,01/24/2011 12:00:00 AM,,True,False
19,Food-Spice,Turmeric,Lead,1.5,ppm,[],UNKNOWN OR NOT STATED,01/24/2011 12:00:00 AM,,False,False
20,Food-Spice,Red pepper,Lead,-1.0,ppm,[],UNKNOWN OR NOT STATED,01/24/2011 12:00:00 AM,,False,False
21,Food Other,Cheetos Crunchy,Lead,-1.0,ppm,['frito'],DOMINICAN REPUBLIC,02/07/2011 12:00:00 AM,,True,False
22,Food Other,Cheetos Crunchy,Lead,-1.0,ppm,['frito'],DOMINICAN REPUBLIC,02/07/2011 12:00:00 AM,,True,False
23,Cosmetics,Johnson & Johnson Baby Powder,Lead,-1.0,ppm,"['oleh', 'dipsoduske']",INDONESIA,02/07/2011 12:00:00 AM,,True,False
24,Food Other,Dulces Vero,Lead,-1.0,ppm,['viacom'],MEXICO,02/08/2011 12:00:00 AM,,True,False
25,Food-Spice,Crevette fish bouillon,Lead,-1.0,ppm,[],GUINEA,02/08/2011 12:00:00 AM,,False,False
26,Jewelry,Amulet/charm,Lead,500000.0,ppm,[],UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,,False,False
27,Jewelry,Fashion hair clip,Lead,330000.0,ppm,[],UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,,False,False
28,Tableware/Pottery,Clay pot,Cadmium,-1.0,ppm,[],UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,,False,False
29,Tableware/Pottery,Clay pot,Lead,6.2,ppm,[],UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,,False,False
30,Food-Spice,Chilli powder,Lead,-1.0,ppm,[],BANGLADESH,02/15/2011 12:00:00 AM,,False,False
31,Toys/Children's Products,Red Race Car (Rust-Eze 95),Lead,73.0,ppm,[],UNKNOWN OR NOT STATED,02/18/2011 12:00:00 AM,,False,False
32,Food-Spice,Soup seasoning,Lead,-1.0,ppm,['prodravka'],CROATIA (local name: Hrvatska),02/22/2011 12:00:00 AM,,True,True
