Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology,Is Correct Abbreviation,Expected Abbreviation
08/31/2020,09/01/2020,26th Ward,26W,389.0,264000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR,True,26W
08/31/2020,09/01/2020,Bowery Bay,BB,1204.0,444000.0,,924695,RT-qPCR,True,BB
08/31/2020,09/01/2020,Coney Island,CI,304.0,169000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342,RT-qPCR,True,CI
08/31/2020,09/01/2020,Hunts Point,HP,940.0,574000.0,,755948,RT-qPCR,True,HP
08/31/2020,09/01/2020,Jamaica Bay,JA,632.0,233000.0,,748737,RT-qPCR,False,JB
08/31/2020,09/01/2020,Newtown Creek,NC,197.0,122000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473,RT-qPCR,True,NC
08/31/2020,09/01/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,RT-qPCR,True,NR
08/31/2020,09/01/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,258731,RT-qPCR,True,OB
08/31/2020,09/01/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,906442,RT-qPCR,True,OH
08/31/2020,09/01/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",226167,RT-qPCR,True,PR
08/31/2020,09/01/2020,Red Hook,RH,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",224029,RT-qPCR,True,RH
08/31/2020,09/01/2020,Rockaway,RK,371.0,210000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,RT-qPCR,False,R
08/31/2020,09/01/2020,Tallman Island,TI,571.0,250000.0,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",449907,RT-qPCR,True,TI
08/31/2020,09/01/2020,Wards Island,WI,1339.0,781000.0,,1201485,RT-qPCR,True,WI
09/02/2020,09/03/2020,26th Ward,26W,,,Concentration below Method Limit of Detection,290608,RT-qPCR,True,26W
09/02/2020,09/03/2020,Bowery Bay,BB,,,Concentration below Method Limit of Detection,924695,RT-qPCR,True,BB
09/02/2020,09/03/2020,Coney Island,CI,,,Analytical issue,682342,RT-qPCR,True,CI
09/02/2020,09/03/2020,Hunts Point,HP,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",755948,RT-qPCR,True,HP
09/02/2020,09/03/2020,Jamaica Bay,JA,182.0,69000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,RT-qPCR,False,JB
09/02/2020,09/03/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473,RT-qPCR,True,NC
09/02/2020,09/03/2020,North River,NR,,,Analytical issue,658596,RT-qPCR,True,NR
09/02/2020,09/03/2020,Oakwood Beach,OB,,,Analytical issue,258731,RT-qPCR,True,OB
09/02/2020,09/03/2020,Owls Head,OH,,,Analytical issue,906442,RT-qPCR,True,OH
09/02/2020,09/03/2020,Port Richmond,PR,,,Analytical issue,226167,RT-qPCR,True,PR
09/02/2020,09/03/2020,Red Hook,RH,242.0,97900.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR,True,RH
09/02/2020,09/03/2020,Rockaway,RK,,,Analytical issue,120539,RT-qPCR,False,R
09/02/2020,09/03/2020,Tallman Island,TI,,,Possible analytical issue,449907,RT-qPCR,True,TI
09/02/2020,09/03/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1201485,RT-qPCR,True,WI
