Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
08/31/2020,09/01/2020,26th Ward,26W,389.00,264000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR
08/31/2020,09/01/2020,Bowery Bay,BB,1204.00,444000.00,,924695,RT-qPCR
08/31/2020,09/01/2020,Coney Island,CI,304.00,169000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342,RT-qPCR
08/31/2020,09/01/2020,Hunts Point,HP,940.00,574000.00,,755948,RT-qPCR
08/31/2020,09/01/2020,Jamaica Bay,JA,632.00,233000.00,,748737,RT-qPCR
08/31/2020,09/01/2020,Newtown Creek,NC,197.00,122000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473,RT-qPCR
08/31/2020,09/01/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,RT-qPCR
08/31/2020,09/01/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,258731,RT-qPCR
08/31/2020,09/01/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,906442,RT-qPCR
08/31/2020,09/01/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",226167,RT-qPCR
08/31/2020,09/01/2020,Red Hook,RH,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",224029,RT-qPCR
08/31/2020,09/01/2020,Rockaway,RK,371.00,210000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539,RT-qPCR
08/31/2020,09/01/2020,Tallman Island,TI,571.00,250000.00,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",449907,RT-qPCR
08/31/2020,09/01/2020,Wards Island,WI,1339.00,781000.00,,1201485,RT-qPCR
09/02/2020,09/03/2020,26th Ward,26W,,,Concentration below Method Limit of Detection,290608,RT-qPCR
09/02/2020,09/03/2020,Bowery Bay,BB,,,Concentration below Method Limit of Detection,924695,RT-qPCR
09/02/2020,09/03/2020,Coney Island,CI,,,Analytical issue,682342,RT-qPCR
09/02/2020,09/03/2020,Hunts Point,HP,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",755948,RT-qPCR
09/02/2020,09/03/2020,Jamaica Bay,JA,182.00,69000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,RT-qPCR
09/02/2020,09/03/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,1156473,RT-qPCR
09/02/2020,09/03/2020,North River,NR,,,Analytical issue,658596,RT-qPCR
09/02/2020,09/03/2020,Oakwood Beach,OB,,,Analytical issue,258731,RT-qPCR
09/02/2020,09/03/2020,Owls Head,OH,,,Analytical issue,906442,RT-qPCR
09/02/2020,09/03/2020,Port Richmond,PR,,,Analytical issue,226167,RT-qPCR
09/02/2020,09/03/2020,Red Hook,RH,242.00,97900.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR
09/02/2020,09/03/2020,Rockaway,RK,,,Analytical issue,120539,RT-qPCR
09/02/2020,09/03/2020,Tallman Island,TI,,,Possible analytical issue,449907,RT-qPCR
09/02/2020,09/03/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1201485,RT-qPCR
09/06/2020,09/07/2020,26th Ward,26W,404.00,232000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR
09/06/2020,09/07/2020,Bowery Bay,BB,,,Concentration below Method Limit of Detection,924695,RT-qPCR
