column_name,value,frequency,category
CONCENTRATION,-1,3747,NULL Value
MANUFACTURER,UNKNOWN OR NOT STATED,4816,NULL Value
PRODUCT_NAME,Kumkum,2,NULL Value
MANUFACTURER,Unknown [Chinese wording],1,NULL Value
MANUFACTURER,Unknown (foreign language),10,NULL Value
MADE_IN_COUNTRY,UNKNOWN OR NOT STATED,2088,NULL Value
DELETED,NaN,6893,NULL Value
MADE_IN_COUNTRY,,2088,Invalid
MADE_IN_COUNTRY,CROATIA (local name: Hrvatska),9,Invalid
MADE_IN_COUNTRY,KOREA - DEMOCRATIC PEOPLE'S REPUBLIC OF,5,Invalid
MADE_IN_COUNTRY,MACAU,1,Invalid
MADE_IN_COUNTRY,COTE D'IVOIRE,15,Invalid
MADE_IN_COUNTRY,TANZANIA - UNITED REPUBLIC OF,1,Invalid
MADE_IN_COUNTRY,IVORY COAST,14,Invalid
MADE_IN_COUNTRY,MELNESIA,1,Invalid
MADE_IN_COUNTRY,TAIWAN - PROVINCE OF CHINA,31,Invalid
MADE_IN_COUNTRY,OTHER EUROPEAN,4,Invalid
MADE_IN_COUNTRY,IRAN (ISLAMIC REPUBLIC OF),2,Invalid
MADE_IN_COUNTRY,TURKEY,10,Invalid
MADE_IN_COUNTRY,OTHER AFRICAN,5,Invalid
MADE_IN_COUNTRY,MACEDONIA - THE FORMER YUGOSLAV REPUBLIC OF,3,Invalid
MADE_IN_COUNTRY,MICRONESIA - FEDERATED STATES OF,1,Invalid
MADE_IN_COUNTRY,OTHER SPANISH,1,Invalid
MADE_IN_COUNTRY,OTHER ASIAN,5,Invalid
MADE_IN_COUNTRY,PALESTINIAN TERRITORY - OCCUPIED,2,Invalid
MADE_IN_COUNTRY,YEMEN (PEOPLES DEM. REP),1,Invalid
MADE_IN_COUNTRY,TIBET,3,Invalid
MADE_IN_COUNTRY,BOSNIA AND HERZEGOWINA,1,Invalid
MADE_IN_COUNTRY,USSR,1,Invalid
MADE_IN_COUNTRY,KOREA - REPUBLIC OF,1,Invalid
