column_name,value,frequency,category
Test date,None,15,NULL Value
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,NaN,154,NULL Value
Per capita SARS-CoV-2 load (N1 copies per day per population),NaN,193,NULL Value
Annotation,None,3693,NULL Value
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,543120.0,1,"Outlier-KNN_mean,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,684720.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,636240.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,504240.0,1,"Outlier-KNN_mean,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,616560.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,855360.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,680400.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,941520.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,507840.0,1,"Outlier-KNN_mean,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,769440.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,711840.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,609120.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,937680.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,618240.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,807600.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,1095840.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,545760.0,1,"Outlier-KNN_mean,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,609360.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,798240.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,860880.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,516960.0,1,"Outlier-KNN_mean,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,530880.0,1,"Outlier-KNN_mean,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest"
